Longitudinal Acceleration (m/s^2),Lateral Acceleration (m/s^2),Velocity (m/s)
-0.009810000000000001,15.940675773334819,0.0
0.5587490382447899,15.900060758429253,0.0
1.1244108299560682,15.778422678518723,0.0
1.6842928923045646,15.576381373376508,0.0
2.2355421946370053,15.294966399181602,0.0
2.7753496968663423,14.935611782136423,0.0
3.300964663696166,14.500148710997982,0.0
3.809708681737241,13.990796205759736,0.0
4.298989308088194,13.410149810034339,0.0
4.766313280830291,12.761168364758344,0.0
5.209299224118675,12.047158930617028,0.0
5.625689783127816,11.271759936021164,0.0
6.013363127014256,10.438922636509863,0.0
6.370343761280228,9.552890980058052,0.0
6.694812594440797,8.618179980890377,0.0
6.985116207697087,7.6395527120036695,0.0
7.239775280379483,6.62199603363874,0.0
7.457492128226682,5.570695181383675,0.0
7.637157316087216,4.491007343401852,0.0
7.777855311346697,3.388434361429034,0.0
7.878869149272146,2.2685946946490207,0.0
7.9396840864999385,1.137194789313498,0.0
7.959990224049994,0.0,0.0
7.9396840864999385,-1.137194789313498,0.0
7.878869149272146,-2.2685946946490207,0.0
7.777855311346697,-3.388434361429034,0.0
7.637157316087216,-4.491007343401852,0.0
7.457492128226682,-5.570695181383675,0.0
7.239775280379483,-6.62199603363874,0.0
6.985116207697086,-7.639552712003671,0.0
6.694812594440796,-8.618179980890378,0.0
6.370343761280229,-9.55289098005805,0.0
6.013363127014256,-10.438922636509863,0.0
5.625689783127816,-11.271759936021164,0.0
5.209299224118675,-12.047158930617028,0.0
4.766313280830291,-12.761168364758344,0.0
4.298989308088194,-13.410149810034339,0.0
3.809708681737241,-13.990796205759736,0.0
3.3009646636961647,-14.500148710997983,0.0
2.7753496968663423,-14.935611782136423,0.0
2.2355421946370053,-15.294966399181602,0.0
1.6842928923045646,-15.576381373376508,0.0
1.1244108299560682,-15.778422678518723,0.0
0.5587490382447899,-15.900060758429253,0.0
-0.009810000000000001,-15.940675773334819,0.0
-1.0704871035849075,-15.940675773334819,0.0
-2.1257592397788767,-15.900060758429253,0.0
-3.170248983665891,-15.778422678518723,0.0
-4.198633854929578,-15.576381373376508,0.0
-5.205673439992868,-15.294966399181602,0.0
-6.186236095964407,-14.935611782136423,0.0
-7.135325100314431,-14.500148710997983,0.0
-8.04810411302744,-13.990796205759736,0.0
-8.919921821482315,-13.410149810034339,0.0
-9.74633564247526,-12.761168364758344,0.0
-10.523134360605503,-12.047158930617028,0.0
-11.246359587663642,-11.271759936021164,0.0
-11.912325933670637,-10.438922636509863,0.0
-12.517639786780387,-9.55289098005805,0.0
-13.059216606347789,-8.618179980890378,0.0
-13.534296641040841,-7.639552712003671,0.0
-13.940458991900838,-6.62199603363874,0.0
-14.275633948688531,-5.570695181383675,0.0
-14.538113536653109,-4.491007343401852,0.0
-14.726560219980003,-3.388434361429034,0.0
-14.84001371756683,-2.2685946946490207,0.0
-14.877895896395753,-1.137194789313498,0.0
-14.84001371756683,0.0,0.0
-14.726560219980003,1.137194789313498,0.0
-14.538113536653109,2.2685946946490207,0.0
-14.275633948688531,3.388434361429034,0.0
-13.940458991900838,4.491007343401852,0.0
-13.534296641040841,5.570695181383675,0.0
-13.059216606347787,6.62199603363874,0.0
-12.517639786780386,7.6395527120036695,0.0
-11.912325933670639,8.618179980890377,0.0
-11.246359587663642,9.552890980058052,0.0
-10.523134360605503,10.438922636509863,0.0
-9.74633564247526,11.271759936021164,0.0
-8.919921821482315,12.047158930617028,0.0
-8.04810411302744,12.761168364758344,0.0
-7.135325100314431,13.410149810034339,0.0
-6.1862360959644045,13.990796205759736,0.0
-5.205673439992868,14.500148710997982,0.0
-4.198633854929578,14.935611782136423,0.0
-3.170248983665891,15.294966399181602,0.0
-2.1257592397788767,15.576381373376508,0.0
-1.0704871035849075,15.778422678518723,0.0
-0.009810000000000001,15.900060758429253,0.0
-0.01818755882352941,15.965106041037336,2.0
0.5511004675245108,15.924428780609624,2.0
1.1174875325827645,15.802604281321564,2.0
1.678087457695232,15.600253332896859,2.0
2.230043554144544,15.318407069385689,2.0
2.7705431801828437,14.958501714741965,2.0
3.2968320736094414,14.522371264155266,2.0
3.806228386859641,14.012238138431737,2.0
4.296136353085203,13.430701859047092,2.0
4.764059513587193,12.780725801581031,2.0
5.207613439197274,12.065622095034566,2.0
5.624537880782199,11.289034743979816,2.0
6.012708286955281,10.454921059548013,2.0
6.370146630303275,9.567531493879063,2.0
6.695031486960683,8.631387980791724,2.0
6.985707318168247,7.6512608930454,2.0
7.240692906518996,6.6321447336140205,2.0
7.4586889039026225,5.579232684843721,2.0
7.638584452685609,4.497890145186003,2.0
7.7794628463871085,3.3936273883570762,2.0
7.880606201005034,2.2720714842460774,2.0
7.941499113188385,1.1389376246567342,2.0
7.961831286614578,0.0,2.0
7.941499113188385,-1.1389376246567342,2.0
7.880606201005034,-2.2720714842460774,2.0
7.7794628463871085,-3.3936273883570762,2.0
